,Station,Entries,Exits,Latitude,Longitude,Date
0,59 ST,40701,28897,40.641362,-74.017881,06/01/2019
1,59 ST,31758,23364,40.641362,-74.017881,06/02/2019
2,59 ST,59478,52551,40.641362,-74.017881,06/03/2019
3,59 ST,60249,57267,40.641362,-74.017881,06/04/2019
4,59 ST,62066,57560,40.641362,-74.017881,06/05/2019
5,59 ST,53751,53556,40.641362,-74.017881,06/06/2019
6,59 ST,48759,49379,40.641362,-74.017881,06/07/2019
7,5 AV/59 ST,9435,7001,40.764811,-73.973347,06/01/2019
8,5 AV/59 ST,8416,6016,40.764811,-73.973347,06/02/2019
9,5 AV/59 ST,15802,11170,40.764811,-73.973347,06/03/2019
10,5 AV/59 ST,17186,13179,40.764811,-73.973347,06/04/2019
11,5 AV/59 ST,16025,12252,40.764811,-73.973347,06/05/2019
12,5 AV/59 ST,16761,12747,40.764811,-73.973347,06/06/2019
13,5 AV/59 ST,15572,11893,40.764811,-73.973347,06/07/2019
14,57 ST-7 AV,16674,16074,40.764664,-73.98065799999999,06/01/2019
15,57 ST-7 AV,15442,13800,40.764664,-73.98065799999999,06/02/2019
16,57 ST-7 AV,29028,24420,40.764664,-73.98065799999999,06/03/2019
17,57 ST-7 AV,30160,25882,40.764664,-73.98065799999999,06/04/2019
18,57 ST-7 AV,31146,26409,40.764664,-73.98065799999999,06/05/2019
19,57 ST-7 AV,30096,26689,40.764664,-73.98065799999999,06/06/2019
20,57 ST-7 AV,28721,25369,40.764664,-73.98065799999999,06/07/2019
21,49 ST,6903,4245,40.759901,-73.984139,06/01/2019
22,49 ST,6010,3633,40.759901,-73.984139,06/02/2019
23,49 ST,19134,16154,40.759901,-73.984139,06/03/2019
24,49 ST,19681,17552,40.759901,-73.984139,06/04/2019
25,49 ST,20519,18223,40.759901,-73.984139,06/05/2019
26,49 ST,20347,17934,40.759901,-73.984139,06/06/2019
27,49 ST,20405,18114,40.759901,-73.984139,06/07/2019
28,TIMES SQ-42 ST,46356,54096,40.75529,-73.987495,06/01/2019
29,TIMES SQ-42 ST,38925,42814,40.75529,-73.987495,06/02/2019
30,TIMES SQ-42 ST,84910,86142,40.75529,-73.987495,06/03/2019
31,TIMES SQ-42 ST,87366,93033,40.75529,-73.987495,06/04/2019
32,TIMES SQ-42 ST,89683,93625,40.75529,-73.987495,06/05/2019
33,TIMES SQ-42 ST,89363,94053,40.75529,-73.987495,06/06/2019
34,TIMES SQ-42 ST,84753,90697,40.75529,-73.987495,06/07/2019
35,34 ST-HERALD SQ,60392,60486,40.749719,-73.98782299999999,06/01/2019
36,34 ST-HERALD SQ,51950,51217,40.749719,-73.98782299999999,06/02/2019
37,34 ST-HERALD SQ,109135,104602,40.749719,-73.98782299999999,06/03/2019
38,34 ST-HERALD SQ,109956,105987,40.749719,-73.98782299999999,06/04/2019
39,34 ST-HERALD SQ,111822,108247,40.749719,-73.98782299999999,06/05/2019
40,34 ST-HERALD SQ,113184,113117,40.749719,-73.98782299999999,06/06/2019
41,34 ST-HERALD SQ,108311,109544,40.749719,-73.98782299999999,06/07/2019
42,28 ST,16509,17198,40.747215000000004,-73.993365,06/01/2019
43,28 ST,13993,14490,40.747215000000004,-73.993365,06/02/2019
44,28 ST,41754,39056,40.747215000000004,-73.993365,06/03/2019
45,28 ST,43795,42032,40.747215000000004,-73.993365,06/04/2019
46,28 ST,45506,44464,40.747215000000004,-73.993365,06/05/2019
47,28 ST,44918,44367,40.747215000000004,-73.993365,06/06/2019
48,28 ST,41259,41555,40.747215000000004,-73.993365,06/07/2019
49,23 ST,47024,39778,40.742878000000005,-73.99282099999999,06/01/2019
50,23 ST,37607,30258,40.742878000000005,-73.99282099999999,06/02/2019
51,23 ST,101150,75985,40.742878000000005,-73.99282099999999,06/03/2019
52,23 ST,103161,77764,40.742878000000005,-73.99282099999999,06/04/2019
53,23 ST,108352,82923,40.742878000000005,-73.99282099999999,06/05/2019
54,23 ST,105778,82817,40.742878000000005,-73.99282099999999,06/06/2019
55,23 ST,101658,79964,40.742878000000005,-73.99282099999999,06/07/2019
56,14 ST-UNION SQ,56964,57958,40.735735999999996,-73.99056800000001,06/01/2019
57,14 ST-UNION SQ,43593,45016,40.735735999999996,-73.99056800000001,06/02/2019
58,14 ST-UNION SQ,89619,89191,40.735735999999996,-73.99056800000001,06/03/2019
59,14 ST-UNION SQ,89909,90037,40.735735999999996,-73.99056800000001,06/04/2019
60,14 ST-UNION SQ,93915,91345,40.735735999999996,-73.99056800000001,06/05/2019
61,14 ST-UNION SQ,90801,90445,40.735735999999996,-73.99056800000001,06/06/2019
62,14 ST-UNION SQ,91411,91202,40.735735999999996,-73.99056800000001,06/07/2019
63,8 ST-NYU,8406,7553,40.730328,-73.99262900000001,06/01/2019
64,8 ST-NYU,7221,6586,40.730328,-73.99262900000001,06/02/2019
65,8 ST-NYU,13149,10149,40.730328,-73.99262900000001,06/03/2019
66,8 ST-NYU,14217,10831,40.730328,-73.99262900000001,06/04/2019
67,8 ST-NYU,14251,10388,40.730328,-73.99262900000001,06/05/2019
68,8 ST-NYU,14133,10954,40.730328,-73.99262900000001,06/06/2019
69,8 ST-NYU,13747,10649,40.730328,-73.99262900000001,06/07/2019
70,PRINCE ST,8669,9630,40.724329,-73.997702,06/01/2019
71,PRINCE ST,7282,7718,40.724329,-73.997702,06/02/2019
72,PRINCE ST,11150,11530,40.724329,-73.997702,06/03/2019
73,PRINCE ST,11642,12352,40.724329,-73.997702,06/04/2019
74,PRINCE ST,11750,12207,40.724329,-73.997702,06/05/2019
75,PRINCE ST,11458,12785,40.724329,-73.997702,06/06/2019
76,PRINCE ST,12627,13192,40.724329,-73.997702,06/07/2019
77,CANAL ST,42856,40863,40.720824,-74.005229,06/01/2019
78,CANAL ST,526959,594498,40.720824,-74.005229,06/02/2019
79,CANAL ST,70170,58182,40.720824,-74.005229,06/03/2019
80,CANAL ST,72847,62088,40.720824,-74.005229,06/04/2019
81,CANAL ST,71263,60241,40.720824,-74.005229,06/05/2019
82,CANAL ST,72005,61996,40.720824,-74.005229,06/06/2019
83,CANAL ST,72178,61237,40.720824,-74.005229,06/07/2019
84,CITY HALL,1493,985,40.713282,-74.006978,06/01/2019
85,CITY HALL,1136,906,40.713282,-74.006978,06/02/2019
86,CITY HALL,5368,3260,40.713282,-74.006978,06/03/2019
87,CITY HALL,5672,3264,40.713282,-74.006978,06/04/2019
88,CITY HALL,5779,3498,40.713282,-74.006978,06/05/2019
89,CITY HALL,5890,3352,40.713282,-74.006978,06/06/2019
90,CITY HALL,5701,3297,40.713282,-74.006978,06/07/2019
91,CORTLANDT ST,7098,4850,40.710668,-74.01102900000001,06/01/2019
92,CORTLANDT ST,5700,4075,40.710668,-74.01102900000001,06/02/2019
93,CORTLANDT ST,20587,15655,40.710668,-74.01102900000001,06/03/2019
94,CORTLANDT ST,21151,16257,40.710668,-74.01102900000001,06/04/2019
95,CORTLANDT ST,20934,16534,40.710668,-74.01102900000001,06/05/2019
96,CORTLANDT ST,21152,16266,40.710668,-74.01102900000001,06/06/2019
97,CORTLANDT ST,20381,15840,40.710668,-74.01102900000001,06/07/2019
98,RECTOR ST,6521,2747,40.70722,-74.01334200000001,06/01/2019
99,RECTOR ST,4887,2351,40.70722,-74.01334200000001,06/02/2019
